Customer Key,First Name,Last Name,Full Name,Age,Marital Status,Gender,Yearly Income,Total Children,DateFirstPurchase,DistanceFromStore,Customer City
11000,Jon,Yang,Jon Yang,54,M,Male,90000.00,2,2022-01-19,1-2 Miles,Rockhampton
11001,Eugene,Huang,Eugene Huang,49,S,Male,60000.00,3,2022-01-15,0-1 Miles,Seaford
11002,Ruben,Torres,Ruben Torres,54,M,Male,60000.00,3,2022-01-07,2-5 Miles,Hobart
11003,Christy,Zhu,Christy Zhu,52,S,Female,70000.00,0,2021-12-29,5-10 Miles,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,46,S,Female,80000.00,5,2022-01-23,1-2 Miles,Wollongong
11005,Julio,Ruiz,Julio Ruiz,49,S,Male,70000.00,0,2021-12-30,5-10 Miles,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,49,S,Female,70000.00,0,2022-01-24,5-10 Miles,Matraville
11007,Marco,Mehta,Marco Mehta,56,M,Male,60000.00,3,2022-01-09,0-1 Miles,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,50,S,Female,60000.00,4,2022-01-25,10+ Miles,Bendigo
11009,Shannon,Carlson,Shannon Carlson,56,S,Male,70000.00,0,2022-01-27,5-10 Miles,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,56,S,Female,70000.00,0,2022-01-14,5-10 Miles,East Brisbane
11011,Curtis,Lu,Curtis Lu,56,M,Male,60000.00,4,2021-12-30,10+ Miles,East Brisbane
11012,Lauren,Walker,Lauren Walker,46,M,Female,100000.00,2,2024-03-16,1-2 Miles,Bremerton
11013,Ian,Jenkins,Ian Jenkins,46,M,Male,100000.00,2,2024-04-13,0-1 Miles,Lebanon
11014,Sydney,Bennett,Sydney Bennett,52,S,Female,100000.00,3,2024-03-23,1-2 Miles,Redmond
11015,Chloe,Young,Chloe Young,41,S,Female,30000.00,0,2024-01-18,5-10 Miles,Burbank
11016,Wyatt,Hill,Wyatt Hill,41,M,Male,30000.00,0,2024-02-09,5-10 Miles,Imperial Beach
11017,Shannon,Wang,Shannon Wang,76,S,Female,20000.00,4,2022-01-12,5-10 Miles,Sunbury
11018,Clarence,Rai,Clarence Rai,70,S,Male,30000.00,2,2022-01-17,5-10 Miles,Bendigo
11019,Luke,Lal,Luke Lal,42,S,Male,40000.00,0,2024-02-12,5-10 Miles,Langley
11020,Jordan,King,Jordan King,41,S,Male,40000.00,0,2023-12-29,1-2 Miles,Metchosin
11021,Destiny,Wilson,Destiny Wilson,41,S,Female,40000.00,0,2024-01-23,1-2 Miles,Beaverton
11022,Ethan,Zhang,Ethan Zhang,41,M,Male,40000.00,0,2024-01-20,5-10 Miles,Bellingham
11023,Seth,Edwards,Seth Edwards,41,M,Male,40000.00,0,2024-02-17,1-2 Miles,Bellflower
11024,Russell,Xie,Russell Xie,41,M,Male,60000.00,0,2024-06-27,5-10 Miles,Concord
11025,Alejandro,Beck,Alejandro Beck,74,M,Male,10000.00,2,2022-01-06,1-2 Miles,Hawthorne
11026,Harold,Sai,Harold Sai,74,S,Male,30000.00,2,2022-01-23,1-2 Miles,Goulburn
11027,Jessie,Zhao,Jessie Zhao,73,M,Male,30000.00,2,2022-01-16,5-10 Miles,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,74,M,Female,30000.00,2,2022-01-26,1-2 Miles,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,73,M,Male,30000.00,2,2022-01-19,1-2 Miles,Bendigo
11030,Bethany,Yuan,Bethany Yuan,67,M,Female,10000.00,2,2022-02-05,1-2 Miles,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,72,M,Female,20000.00,4,2022-02-01,1-2 Miles,Matraville
11032,Denise,Stone,Denise Stone,73,M,Female,20000.00,4,2022-02-18,1-2 Miles,Melbourne
11033,Jaime,Nath,Jaime Nath,67,M,Male,20000.00,4,2022-02-15,5-10 Miles,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,73,M,Female,20000.00,4,2022-02-01,5-10 Miles,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,72,M,Female,10000.00,2,2022-02-06,1-2 Miles,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,41,M,Female,60000.00,0,2024-01-22,1-2 Miles,National City
11037,Chloe,Garcia,Chloe Garcia,42,S,Female,40000.00,0,2024-01-20,5-10 Miles,Cliffside
11038,Diana,Hernandez,Diana Hernandez,72,M,Female,10000.00,2,2022-02-07,5-10 Miles,Lavender Bay
11039,Marc,Martin,Marc Martin,71,M,Male,30000.00,3,2022-02-07,5-10 Miles,Wollongong
11040,Jesse,Murphy,Jesse Murphy,42,M,Male,30000.00,0,2024-04-03,1-2 Miles,Tacoma
11041,Amanda,Carter,Amanda Carter,42,M,Female,60000.00,0,2024-01-14,1-2 Miles,Glendale
11042,Megan,Sanchez,Megan Sanchez,43,M,Female,70000.00,0,2024-01-21,0-1 Miles,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,44,M,Male,60000.00,0,2024-05-08,5-10 Miles,Glendale
11044,Adam,Flores,Adam Flores,71,M,Male,20000.00,2,2022-02-28,1-2 Miles,Hervey Bay
11045,Leonard,Nara,Leonard Nara,70,S,Male,30000.00,3,2024-04-10,1-2 Miles,Matraville
11046,Christine,Yuan,Christine Yuan,70,M,Female,30000.00,3,2022-02-06,5-10 Miles,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,70,M,Female,30000.00,3,2022-02-03,1-2 Miles,Geelong
11048,Jeremy,Powell,Jeremy Powell,69,M,Male,30000.00,3,2022-02-10,5-10 Miles,Sunbury
11049,Carol,Rai,Carol Rai,39,S,Female,40000.00,0,2024-03-09,5-10 Miles,Chula Vista
11050,Alan,Zheng,Alan Zheng,68,M,Male,30000.00,3,2022-02-20,5-10 Miles,Hobart
11051,Daniel,Johnson,Daniel Johnson,68,S,Male,30000.00,3,2024-12-29,1-2 Miles,Caloundra
11052,Heidi,Lopez,Heidi Lopez,68,S,Female,40000.00,2,2022-02-17,5-10 Miles,Matraville
11053,Ana,Price,Ana Price,39,M,Female,60000.00,0,2024-01-17,1-2 Miles,San Diego
11054,Deanna,Munoz,Deanna Munoz,68,M,Female,40000.00,2,2022-02-03,5-10 Miles,Geelong
11055,Gilbert,Raje,Gilbert Raje,68,M,Male,40000.00,2,2022-01-31,5-10 Miles,East Brisbane
11056,Michele,Nath,Michele Nath,67,M,Female,40000.00,3,2022-02-26,5-10 Miles,Newcastle
11057,Carl,Andersen,Carl Andersen,55,M,Male,70000.00,2,2022-02-22,1-2 Miles,Lane Cove
11058,Marc,Diaz,Marc Diaz,60,M,Male,80000.00,2,2022-03-09,1-2 Miles,Findon
11059,Ashlee,Andersen,Ashlee Andersen,66,S,Female,80000.00,2,2024-02-18,5-10 Miles,Townsville
11060,Jon,Zhou,Jon Zhou,66,M,Male,80000.00,2,2022-03-19,5-10 Miles,Warrnambool
11061,Todd,Gao,Todd Gao,49,M,Male,80000.00,2,2022-03-13,5-10 Miles,Gold Coast
11062,Noah,Powell,Noah Powell,44,M,Male,40000.00,0,2024-01-07,5-10 Miles,Portland
11063,Angela,Murphy,Angela Murphy,45,S,Female,40000.00,0,2024-01-12,5-10 Miles,Redmond
11064,Chase,Reed,Chase Reed,44,M,Male,40000.00,0,2024-01-25,5-10 Miles,Downey
11065,Jessica,Henderson,Jessica Henderson,46,M,Female,60000.00,0,2024-02-10,1-2 Miles,La Jolla
11066,Grace,Butler,Grace Butler,46,M,Female,70000.00,0,2024-05-31,5-10 Miles,Lebanon
11067,Caleb,Carter,Caleb Carter,43,S,Male,60000.00,0,2024-08-18,5-10 Miles,Port Orchard
11068,Tiffany,Liang,Tiffany Liang,59,S,Female,80000.00,2,2024-04-30,5-10 Miles,Warrnambool
11069,Carolyn,Navarro,Carolyn Navarro,59,S,Female,80000.00,2,2022-04-17,1-2 Miles,Gold Coast
11070,Willie,Raji,Willie Raji,65,M,Male,80000.00,2,2022-04-28,5-10 Miles,Sunbury
11071,Linda,Serrano,Linda Serrano,65,S,Female,80000.00,2,2024-03-01,5-10 Miles,Hawthorne
11072,Casey,Luo,Casey Luo,65,S,Female,80000.00,2,2022-03-31,1-2 Miles,St. Leonards
11073,Amy,Ye,Amy Ye,63,S,Female,70000.00,2,2024-03-23,5-10 Miles,Springwood
11074,Levi,Arun,Levi Arun,63,S,Male,70000.00,2,2024-03-23,5-10 Miles,Cloverdale
11075,Felicia,Jimenez,Felicia Jimenez,62,S,Female,80000.00,2,2022-04-28,5-10 Miles,Bendigo
11076,Blake,Anderson,Blake Anderson,62,S,Male,80000.00,2,2022-04-21,5-10 Miles,Wollongong
11077,Leah,Ye,Leah Ye,62,S,Female,80000.00,2,2022-04-15,1-2 Miles,Melton
11078,Gina,Martin,Gina Martin,40,S,Female,40000.00,0,2024-02-15,1-2 Miles,Cliffside
11079,Donald,Gonzalez,Donald Gonzalez,55,S,Male,160000.00,0,2024-03-15,0-1 Miles,Geelong
11080,Damien,Chander,Damien Chander,60,M,Male,170000.00,0,2022-04-10,0-1 Miles,Perth
11081,Savannah,Baker,Savannah Baker,53,M,Female,120000.00,2,2024-02-12,2-5 Miles,Concord
11082,Angela,Butler,Angela Butler,53,S,Female,130000.00,0,2024-01-22,1-2 Miles,Fremont
11083,Alyssa,Cox,Alyssa Cox,48,M,Female,130000.00,0,2024-01-06,1-2 Miles,Lincoln Acres
11084,Lucas,Phillips,Lucas Phillips,62,S,Male,80000.00,2,2024-01-04,1-2 Miles,Lebanon
11085,Emily,Johnson,Emily Johnson,62,S,Female,60000.00,2,2024-12-06,5-10 Miles,Newport Beach
11086,Ryan,Brown,Ryan Brown,62,M,Male,70000.00,2,2024-07-02,0-1 Miles,Santa Monica
11087,Tamara,Liang,Tamara Liang,62,M,Female,70000.00,3,2024-02-25,0-1 Miles,Chula Vista
